Datos Medidos,Datos Predichos
45.0,43.6
44.0,43.06666666666666
43.0,43.06666666666667
46.0,42.6
43.0,42.6
44.0,42.53333333333333
42.0,42.93333333333333
42.0,43.0
39.0,42.93333333333334
42.0,42.46666666666667
43.0,42.0
42.0,42.2
40.0,41.8
40.0,41.2
40.0,41.333333333333336
41.0,41.666666666666664
39.0,41.4
41.0,40.86666666666667
41.0,40.93333333333333
39.0,40.6
39.0,40.4
40.0,39.93333333333333
39.0,40.0
40.0,39.733333333333334
39.0,39.86666666666667
39.0,40.6
39.0,40.06666666666667
40.0,39.06666666666667
39.0,38.86666666666667
39.0,38.53333333333333
40.0,38.4
39.0,38.8
39.0,38.46666666666667
37.0,38.86666666666667
41.0,38.93333333333333
39.0,39.333333333333336
38.0,39.13333333333333
40.0,39.06666666666667
40.0,39.13333333333333
40.0,39.13333333333333
41.0,38.93333333333333
41.0,38.8
41.0,38.8
41.0,40.266666666666666
42.0,39.93333333333333
42.0,40.666666666666664
41.0,39.93333333333333
43.0,40.333333333333336
42.0,40.666666666666664
45.0,39.93333333333334
42.0,40.13333333333333
39.0,40.46666666666667
40.0,39.86666666666667
39.0,39.6
39.0,39.46666666666667
37.0,39.333333333333336
39.0,39.8
38.0,39.6
40.0,39.86666666666667
40.0,39.6
39.0,39.6
41.0,39.333333333333336
41.0,39.13333333333333
39.0,39.8
40.0,40.4
38.0,41.06666666666667
38.0,41.333333333333336
40.0,39.53333333333333
40.0,40.733333333333334
43.0,40.13333333333333
41.0,40.4
41.0,40.86666666666667
41.0,40.6
41.0,40.2
42.0,39.53333333333333
39.0,39.666666666666664
39.0,39.333333333333336
40.0,38.733333333333334
39.0,39.266666666666666
39.0,38.93333333333334
41.0,38.86666666666667
39.0,39.0
38.0,39.4
41.0,38.666666666666664
41.0,38.93333333333334
42.0,39.2
43.0,39.4
42.0,39.733333333333334
41.0,40.53333333333333
40.0,41.46666666666667
41.0,41.53333333333333
40.0,41.06666666666667
40.0,40.2
39.0,40.4
40.0,40.93333333333333
41.0,40.733333333333334
40.0,40.46666666666667
40.0,39.86666666666667
39.0,39.46666666666667
36.0,38.86666666666667
36.0,39.2
38.0,38.86666666666667
39.0,38.733333333333334
38.0,38.86666666666667
39.0,39.333333333333336
38.0,38.8
37.0,38.666666666666664
38.0,38.53333333333333
39.0,38.333333333333336
38.0,38.8
39.0,39.0
37.0,39.13333333333333
38.0,39.666666666666664
40.0,39.2
41.0,39.0
40.0,39.4
42.0,39.46666666666667
41.0,40.6
41.0,40.93333333333334
40.0,41.13333333333333
39.0,40.8
40.0,40.2
39.0,39.13333333333333
40.0,39.0
38.0,38.93333333333333
38.0,38.666666666666664
40.0,38.733333333333334
39.0,39.266666666666666
39.0,38.666666666666664
38.0,38.333333333333336
40.0,39.0
38.0,38.93333333333333
37.0,39.266666666666666
39.0,39.333333333333336
38.0,39.06666666666667
38.0,39.266666666666666
37.0,39.0
38.0,38.8
38.0,39.06666666666667
39.0,38.266666666666666
40.0,38.733333333333334
39.0,38.53333333333333
39.0,38.8
38.0,38.6
38.0,38.333333333333336
39.0,40.0
38.0,38.13333333333333
37.0,38.13333333333333
38.0,38.266666666666666
37.0,38.266666666666666
39.0,38.2
39.0,37.666666666666664
37.0,38.2
38.0,37.86666666666667
39.0,38.666666666666664
38.0,38.46666666666667
37.0,38.6
38.0,38.53333333333333
38.0,38.266666666666666
39.0,38.266666666666666
38.0,38.46666666666667
38.0,39.266666666666666
37.0,38.8
38.0,38.666666666666664
38.0,38.6
39.0,38.53333333333333
38.0,38.666666666666664
39.0,38.53333333333333
39.0,38.46666666666667
38.0,38.666666666666664
38.0,38.8
37.0,38.666666666666664
36.0,38.13333333333333
37.0,38.13333333333333
36.0,38.0
37.0,38.46666666666667
37.0,37.86666666666667
37.0,37.53333333333333
39.0,38.13333333333333
62.0,38.0
56.0,55.6
61.0,52.13333333333333
81.0,52.8
67.0,67.53333333333333
