Measurement Start Date/Time,Measurement End Date/Time,Dose Equivalent Rate(nSv/h)
31/12/2018 23:28,01/01/2019 00:28,77
01/01/2019 00:28,01/01/2019 01:28,78
01/01/2019 01:28,01/01/2019 02:28,76
01/01/2019 02:28,01/01/2019 03:29,76
01/01/2019 03:29,01/01/2019 04:29,78
01/01/2019 04:29,01/01/2019 05:29,76
01/01/2019 05:29,01/01/2019 06:29,77
01/01/2019 06:29,01/01/2019 07:29,76
01/01/2019 07:29,01/01/2019 08:30,77
01/01/2019 08:30,01/01/2019 09:30,78
01/01/2019 09:30,01/01/2019 10:30,76
01/01/2019 10:30,01/01/2019 11:30,75
01/01/2019 11:30,01/01/2019 12:31,78
01/01/2019 12:31,01/01/2019 13:31,77
01/01/2019 13:31,01/01/2019 14:31,75
01/01/2019 14:31,01/01/2019 15:31,75
01/01/2019 15:31,01/01/2019 16:31,75
01/01/2019 16:31,01/01/2019 17:32,77
01/01/2019 17:32,01/01/2019 18:32,78
01/01/2019 18:32,01/01/2019 19:32,76
01/01/2019 19:32,01/01/2019 20:32,77
01/01/2019 20:32,01/01/2019 21:32,76
01/01/2019 21:33,01/01/2019 22:33,80
01/01/2019 22:33,01/01/2019 23:33,75
01/01/2019 23:33,02/01/2019 00:33,76
02/01/2019 00:33,02/01/2019 01:33,78
02/01/2019 01:33,02/01/2019 02:34,78
02/01/2019 02:34,02/01/2019 03:34,76
02/01/2019 03:34,02/01/2019 04:34,75
02/01/2019 04:34,02/01/2019 05:34,77
02/01/2019 05:34,02/01/2019 06:34,78
02/01/2019 06:34,02/01/2019 07:35,77
02/01/2019 07:35,02/01/2019 08:35,77
02/01/2019 08:35,02/01/2019 09:35,78
02/01/2019 09:35,02/01/2019 10:35,76
02/01/2019 10:35,02/01/2019 11:36,73
02/01/2019 11:36,02/01/2019 12:36,75
02/01/2019 12:36,02/01/2019 13:36,81
02/01/2019 13:36,02/01/2019 14:36,77
02/01/2019 14:36,02/01/2019 15:36,79
02/01/2019 15:36,02/01/2019 16:37,77
