Measurement Start Date/Time,Measurement End Date/Time,Dose Equivalent Rate(nSv/h)
31/12/2018 23:18,01/01/2019 00:18,
01/01/2019 00:18,01/01/2019 01:18,
01/01/2019 01:18,01/01/2019 02:18,53
01/01/2019 02:18,01/01/2019 03:18,55
01/01/2019 03:19,01/01/2019 04:19,53
01/01/2019 04:19,01/01/2019 05:19,56
01/01/2019 05:19,01/01/2019 06:19,52
01/01/2019 06:19,01/01/2019 07:19,46
01/01/2019 07:19,01/01/2019 08:20,47
01/01/2019 08:20,01/01/2019 09:20,43
01/01/2019 09:20,01/01/2019 10:20,45
01/01/2019 10:20,01/01/2019 11:20,43
01/01/2019 11:20,01/01/2019 12:21,45
01/01/2019 12:21,01/01/2019 13:21,43
01/01/2019 13:21,01/01/2019 14:21,44
01/01/2019 14:21,01/01/2019 15:21,41
01/01/2019 15:21,01/01/2019 16:21,42
01/01/2019 16:22,01/01/2019 17:22,41
01/01/2019 17:22,01/01/2019 18:22,44
01/01/2019 18:22,01/01/2019 19:22,43
01/01/2019 19:22,01/01/2019 20:22,43
01/01/2019 20:22,01/01/2019 21:23,43
01/01/2019 21:23,01/01/2019 22:23,47
01/01/2019 22:23,01/01/2019 23:23,46
01/01/2019 23:23,02/01/2019 00:23,47
02/01/2019 00:23,02/01/2019 01:23,46
02/01/2019 01:24,02/01/2019 02:24,45
02/01/2019 02:24,02/01/2019 03:24,47
02/01/2019 03:24,02/01/2019 04:24,47
02/01/2019 04:24,02/01/2019 05:24,44
02/01/2019 05:24,02/01/2019 06:25,50
02/01/2019 06:25,02/01/2019 07:25,49
02/01/2019 07:25,02/01/2019 08:25,49
02/01/2019 08:25,02/01/2019 09:25,48
02/01/2019 09:25,02/01/2019 10:26,46
02/01/2019 10:26,02/01/2019 11:26,48
02/01/2019 11:26,02/01/2019 12:26,48
02/01/2019 12:26,02/01/2019 13:26,48
02/01/2019 13:26,02/01/2019 14:26,46
02/01/2019 14:27,02/01/2019 15:27,46
02/01/2019 15:27,02/01/2019 16:27,47
02/01/2019 16:27,02/01/2019 17:27,45
02/01/2019 17:27,02/01/2019 18:27,47
02/01/2019 18:27,02/01/2019 19:28,48
02/01/2019 19:28,02/01/2019 20:28,45
02/01/2019 20:28,02/01/2019 21:28,51
02/01/2019 21:28,02/01/2019 22:28,45
02/01/2019 22:28,02/01/2019 23:29,46
02/01/2019 23:29,03/01/2019 00:29,49
03/01/2019 00:29,03/01/2019 01:29,48
03/01/2019 01:29,03/01/2019 02:29,46
03/01/2019 02:29,03/01/2019 03:29,47
03/01/2019 03:30,03/01/2019 04:30,47
03/01/2019 04:30,03/01/2019 05:30,49
03/01/2019 05:30,03/01/2019 06:30,48
03/01/2019 06:30,03/01/2019 07:30,50
03/01/2019 07:30,03/01/2019 08:31,50
03/01/2019 08:31,03/01/2019 09:31,49
03/01/2019 09:31,03/01/2019 10:31,49
03/01/2019 10:31,03/01/2019 11:31,51
03/01/2019 11:31,03/01/2019 12:32,49
03/01/2019 12:32,03/01/2019 13:32,53
03/01/2019 15:32,03/01/2019 16:32,52
03/01/2019 21:34,03/01/2019 22:34,50
03/01/2019 22:34,03/01/2019 23:34,49
03/01/2019 23:34,04/01/2019 00:34,52
04/01/2019 00:34,04/01/2019 01:35,53
04/01/2019 01:35,04/01/2019 02:35,51
04/01/2019 02:35,04/01/2019 03:35,51
04/01/2019 03:35,04/01/2019 04:35,53
04/01/2019 04:35,04/01/2019 05:35,53
04/01/2019 05:36,04/01/2019 06:36,54
04/01/2019 06:36,04/01/2019 07:36,54
04/01/2019 07:36,04/01/2019 08:36,55
04/01/2019 08:36,04/01/2019 09:36,56
04/01/2019 09:36,04/01/2019 10:37,56
04/01/2019 10:37,04/01/2019 11:31,54
04/01/2019 11:37,04/01/2019 12:37,55
04/01/2019 12:37,04/01/2019 13:38,52
04/01/2019 13:38,04/01/2019 14:38,56
04/01/2019 14:38,04/01/2019 15:38,56
04/01/2019 15:38,04/01/2019 16:38,49
04/01/2019 16:38,04/01/2019 17:39,50
04/01/2019 17:39,04/01/2019 18:39,50
04/01/2019 18:39,04/01/2019 19:39,51
04/01/2019 19:39,04/01/2019 20:39,51
04/01/2019 20:39,04/01/2019 21:39,50
04/01/2019 21:40,04/01/2019 22:40,51
04/01/2019 22:40,04/01/2019 23:40,49
04/01/2019 23:40,05/01/2019 00:40,52
05/01/2019 00:40,05/01/2019 01:40,56
05/01/2019 01:40,05/01/2019 02:41,55
05/01/2019 02:41,05/01/2019 03:41,53
05/01/2019 03:41,05/01/2019 04:41,50
05/01/2019 04:41,05/01/2019 05:41,54
05/01/2019 05:41,05/01/2019 06:42,55
05/01/2019 06:42,05/01/2019 07:42,54
05/01/2019 07:42,05/01/2019 08:42,
05/01/2019 08:42,05/01/2019 09:42,55
05/01/2019 09:42,05/01/2019 10:42,52
05/01/2019 10:43,05/01/2019 11:43,56
05/01/2019 11:43,05/01/2019 12:43,56
05/01/2019 12:43,05/01/2019 13:43,
05/01/2019 13:43,05/01/2019 14:43,56
05/01/2019 14:43,05/01/2019 15:44,55
05/01/2019 15:44,05/01/2019 16:44,54
05/01/2019 16:44,05/01/2019 17:44,
05/01/2019 17:44,05/01/2019 18:44,53
05/01/2019 18:44,05/01/2019 19:45,55
05/01/2019 19:45,05/01/2019 20:45,54
05/01/2019 20:45,05/01/2019 21:45,53
05/01/2019 21:45,05/01/2019 22:45,52
05/01/2019 22:45,05/01/2019 23:45,51
05/01/2019 23:46,06/01/2019 00:46,49
06/01/2019 00:46,06/01/2019 01:46,51
06/01/2019 01:46,06/01/2019 02:46,49
06/01/2019 02:46,06/01/2019 03:46,49
06/01/2019 03:46,06/01/2019 04:47,49
06/01/2019 04:47,06/01/2019 05:47,50
06/01/2019 05:47,06/01/2019 06:47,48
06/01/2019 06:47,06/01/2019 07:47,53
06/01/2019 07:47,06/01/2019 08:48,51
06/01/2019 08:48,06/01/2019 09:48,48
06/01/2019 09:48,06/01/2019 10:48,50
06/01/2019 10:48,06/01/2019 11:48,53
06/01/2019 11:48,06/01/2019 12:48,53
06/01/2019 12:49,06/01/2019 13:49,51
06/01/2019 13:49,06/01/2019 14:49,51
06/01/2019 14:49,06/01/2019 15:49,49
06/01/2019 15:49,06/01/2019 16:49,46
06/01/2019 16:49,06/01/2019 17:50,48
06/01/2019 17:50,06/01/2019 18:50,46
06/01/2019 18:50,06/01/2019 19:50,47
06/01/2019 19:50,06/01/2019 20:50,46
06/01/2019 20:50,06/01/2019 21:51,45
06/01/2019 21:51,06/01/2019 22:51,46
06/01/2019 22:51,06/01/2019 23:51,48
06/01/2019 23:51,07/01/2019 00:51,49
07/01/2019 00:51,07/01/2019 01:51,47
07/01/2019 01:51,07/01/2019 02:52,46
07/01/2019 02:52,07/01/2019 03:52,49
07/01/2019 03:52,07/01/2019 04:52,49
07/01/2019 04:52,07/01/2019 05:52,49
07/01/2019 05:52,07/01/2019 06:53,52
07/01/2019 06:53,07/01/2019 07:53,52
07/01/2019 07:53,07/01/2019 08:53,52
07/01/2019 08:53,07/01/2019 09:53,56
07/01/2019 09:53,07/01/2019 10:53,53
07/01/2019 10:54,07/01/2019 11:54,53
07/01/2019 11:54,07/01/2019 12:54,51
07/01/2019 12:54,07/01/2019 13:54,54
07/01/2019 13:54,07/01/2019 14:54,52
07/01/2019 14:54,07/01/2019 15:55,54
07/01/2019 15:55,07/01/2019 16:55,53
07/01/2019 16:55,07/01/2019 17:55,52
07/01/2019 17:55,07/01/2019 18:55,54
07/01/2019 18:55,07/01/2019 19:56,55
07/01/2019 19:56,07/01/2019 20:56,53
07/01/2019 20:56,07/01/2019 21:56,50
07/01/2019 21:56,07/01/2019 22:56,53
07/01/2019 22:56,07/01/2019 23:56,
07/01/2019 23:57,08/01/2019 00:57,53
08/01/2019 00:57,08/01/2019 01:57,52
08/01/2019 01:57,08/01/2019 02:57,54
08/01/2019 02:57,08/01/2019 03:57,53
08/01/2019 03:58,08/01/2019 04:58,
08/01/2019 04:58,08/01/2019 05:58,55
08/01/2019 05:58,08/01/2019 06:58,
08/01/2019 06:58,08/01/2019 07:58,
08/01/2019 07:58,08/01/2019 08:59,
08/01/2019 08:59,08/01/2019 09:59,55
08/01/2019 09:59,08/01/2019 10:59,53
08/01/2019 11:13,08/01/2019 12:13,52
08/01/2019 12:13,08/01/2019 13:13,56
08/01/2019 13:13,08/01/2019 14:13,52
08/01/2019 14:13,08/01/2019 15:14,52
08/01/2019 15:14,08/01/2019 16:14,52
08/01/2019 16:14,08/01/2019 17:14,50
08/01/2019 17:14,08/01/2019 18:14,47
08/01/2019 18:14,08/01/2019 19:14,55
08/01/2019 19:15,08/01/2019 20:15,49
08/01/2019 20:15,08/01/2019 21:15,46
08/01/2019 21:15,08/01/2019 22:15,45
08/01/2019 22:15,08/01/2019 23:15,44
08/01/2019 23:15,09/01/2019 00:16,48
09/01/2019 00:16,09/01/2019 01:16,48
09/01/2019 01:16,09/01/2019 02:16,48
09/01/2019 02:16,09/01/2019 03:16,89
09/01/2019 03:16,09/01/2019 04:17,99
09/01/2019 04:17,09/01/2019 05:17,63
09/01/2019 05:17,09/01/2019 06:17,55
09/01/2019 06:17,09/01/2019 07:17,54
09/01/2019 07:17,09/01/2019 08:17,53
09/01/2019 08:18,09/01/2019 09:18,50
09/01/2019 09:18,09/01/2019 10:18,51
09/01/2019 10:18,09/01/2019 11:18,53
09/01/2019 11:18,09/01/2019 12:18,53
09/01/2019 12:18,09/01/2019 13:19,52
09/01/2019 13:19,09/01/2019 14:19,49
09/01/2019 14:19,09/01/2019 15:19,51
09/01/2019 15:19,09/01/2019 16:19,49
09/01/2019 16:19,09/01/2019 17:20,52
09/01/2019 17:20,09/01/2019 18:20,54
09/01/2019 18:20,09/01/2019 19:20,56
09/01/2019 19:20,09/01/2019 20:20,
09/01/2019 20:20,09/01/2019 21:20,
09/01/2019 21:20,09/01/2019 22:21,
09/01/2019 22:21,09/01/2019 23:21,
09/01/2019 23:21,10/01/2019 00:21,
10/01/2019 00:21,10/01/2019 01:21,
10/01/2019 01:21,10/01/2019 02:22,
10/01/2019 02:22,10/01/2019 03:22,
10/01/2019 03:22,10/01/2019 04:22,
10/01/2019 04:22,10/01/2019 05:22,
10/01/2019 05:22,10/01/2019 06:23,
10/01/2019 06:23,10/01/2019 07:23,
10/01/2019 07:23,10/01/2019 08:23,
10/01/2019 08:23,10/01/2019 09:23,
10/01/2019 09:23,10/01/2019 10:23,
10/01/2019 10:24,10/01/2019 11:24,
10/01/2019 11:24,10/01/2019 12:24,
10/01/2019 12:24,10/01/2019 13:24,
10/01/2019 13:24,10/01/2019 14:24,
10/01/2019 14:24,10/01/2019 15:25,
10/01/2019 15:25,10/01/2019 16:25,
10/01/2019 16:25,10/01/2019 17:25,
10/01/2019 17:25,10/01/2019 18:25,55
10/01/2019 18:25,10/01/2019 19:26,56
10/01/2019 19:26,10/01/2019 20:26,53
10/01/2019 20:26,10/01/2019 21:26,56
10/01/2019 21:26,10/01/2019 22:26,
10/01/2019 22:26,10/01/2019 23:26,
10/01/2019 23:27,11/01/2019 00:27,
11/01/2019 00:27,11/01/2019 01:27,
11/01/2019 01:27,11/01/2019 02:27,
11/01/2019 02:27,11/01/2019 03:27,
11/01/2019 03:27,11/01/2019 04:28,
11/01/2019 04:28,11/01/2019 05:28,
11/01/2019 05:28,11/01/2019 06:28,
11/01/2019 06:28,11/01/2019 07:28,
11/01/2019 07:28,11/01/2019 08:29,
11/01/2019 08:29,11/01/2019 09:29,
11/01/2019 09:29,11/01/2019 10:29,
11/01/2019 10:29,11/01/2019 11:03,
11/01/2019 11:09,11/01/2019 12:09,
11/01/2019 12:10,11/01/2019 13:10,
11/01/2019 13:10,11/01/2019 14:10,55
11/01/2019 14:10,11/01/2019 15:10,
11/01/2019 15:10,11/01/2019 16:10,
11/01/2019 16:10,11/01/2019 17:11,
11/01/2019 17:11,11/01/2019 18:11,55
11/01/2019 18:11,11/01/2019 19:11,55
11/01/2019 19:11,11/01/2019 20:11,54
11/01/2019 20:11,11/01/2019 21:12,56
11/01/2019 21:12,11/01/2019 22:12,52
11/01/2019 22:12,11/01/2019 23:12,
11/01/2019 23:12,12/01/2019 00:12,
12/01/2019 00:12,12/01/2019 01:12,
12/01/2019 01:13,12/01/2019 02:13,56
12/01/2019 02:13,12/01/2019 03:13,
12/01/2019 03:13,12/01/2019 04:13,
12/01/2019 04:13,12/01/2019 05:13,
12/01/2019 05:13,12/01/2019 06:14,
12/01/2019 06:14,12/01/2019 07:14,
12/01/2019 07:14,12/01/2019 08:14,
12/01/2019 08:14,12/01/2019 09:14,
12/01/2019 09:14,12/01/2019 10:14,
12/01/2019 10:15,12/01/2019 11:15,
12/01/2019 11:15,12/01/2019 12:15,
12/01/2019 12:15,12/01/2019 13:15,
12/01/2019 13:15,12/01/2019 14:15,
12/01/2019 14:15,12/01/2019 15:16,
12/01/2019 15:16,12/01/2019 16:16,
12/01/2019 16:16,12/01/2019 17:16,54
12/01/2019 17:16,12/01/2019 18:16,55
12/01/2019 18:16,12/01/2019 19:17,53
12/01/2019 19:17,12/01/2019 20:17,54
12/01/2019 20:17,12/01/2019 21:17,55
12/01/2019 21:17,12/01/2019 22:17,
12/01/2019 22:17,12/01/2019 23:18,
12/01/2019 23:18,13/01/2019 00:18,
13/01/2019 00:18,13/01/2019 01:18,
13/01/2019 01:18,13/01/2019 02:18,
13/01/2019 02:18,13/01/2019 03:18,
13/01/2019 03:19,13/01/2019 04:19,
13/01/2019 04:19,13/01/2019 05:19,
13/01/2019 05:19,13/01/2019 06:19,
13/01/2019 06:19,13/01/2019 07:19,
13/01/2019 07:19,13/01/2019 08:20,
13/01/2019 08:20,13/01/2019 09:20,
13/01/2019 09:20,13/01/2019 10:20,
13/01/2019 10:20,13/01/2019 11:20,
13/01/2019 11:20,13/01/2019 12:21,
13/01/2019 12:21,13/01/2019 13:21,
13/01/2019 13:21,13/01/2019 14:21,
13/01/2019 14:21,13/01/2019 15:21,
13/01/2019 15:21,13/01/2019 16:21,
13/01/2019 16:22,13/01/2019 17:22,
13/01/2019 17:22,13/01/2019 18:22,
13/01/2019 18:22,13/01/2019 19:22,
13/01/2019 19:22,13/01/2019 20:22,
13/01/2019 20:22,13/01/2019 21:23,
13/01/2019 21:23,13/01/2019 22:23,
13/01/2019 22:23,13/01/2019 23:23,
13/01/2019 23:23,14/01/2019 00:23,
14/01/2019 00:23,14/01/2019 01:24,
14/01/2019 01:24,14/01/2019 02:24,
14/01/2019 02:24,14/01/2019 03:24,
14/01/2019 03:24,14/01/2019 04:24,
14/01/2019 04:24,14/01/2019 05:24,
14/01/2019 05:25,14/01/2019 06:25,
14/01/2019 06:25,14/01/2019 07:25,
14/01/2019 07:25,14/01/2019 08:25,
14/01/2019 08:25,14/01/2019 09:25,
14/01/2019 09:25,14/01/2019 10:26,
14/01/2019 10:26,14/01/2019 11:26,
14/01/2019 11:26,14/01/2019 12:26,
14/01/2019 12:26,14/01/2019 13:26,
14/01/2019 13:26,14/01/2019 14:26,
14/01/2019 14:27,14/01/2019 15:27,
14/01/2019 15:27,14/01/2019 16:27,
14/01/2019 16:27,14/01/2019 17:27,
14/01/2019 17:27,14/01/2019 18:27,55
14/01/2019 18:28,14/01/2019 19:28,53
14/01/2019 19:28,14/01/2019 20:28,53
14/01/2019 20:28,14/01/2019 21:28,54
14/01/2019 21:28,14/01/2019 22:28,56
