Measurement Start Date/Time,Measurement End Date/Time,Dose Equivalent Rate(nSv/h)
28/01/2019 14:52,28/01/2019 15:52,97
28/01/2019 15:52,28/01/2019 16:52,98
28/01/2019 16:52,28/01/2019 17:53,102
28/01/2019 17:53,28/01/2019 18:53,93
28/01/2019 18:53,28/01/2019 19:53,95
28/01/2019 19:53,28/01/2019 20:53,92
28/01/2019 20:53,28/01/2019 21:53,92
28/01/2019 21:54,28/01/2019 22:54,96
28/01/2019 22:54,28/01/2019 23:54,95
28/01/2019 23:54,29/01/2019 00:54,91
29/01/2019 00:54,29/01/2019 01:54,91
29/01/2019 01:54,29/01/2019 02:55,93
29/01/2019 02:55,29/01/2019 03:55,91
29/01/2019 03:55,29/01/2019 04:55,93
29/01/2019 04:55,29/01/2019 05:55,95
29/01/2019 05:55,29/01/2019 06:56,96
29/01/2019 06:56,29/01/2019 07:56,97
29/01/2019 07:56,29/01/2019 08:56,94
29/01/2019 08:56,29/01/2019 09:56,96
29/01/2019 09:56,29/01/2019 10:56,97
29/01/2019 10:56,29/01/2019 11:57,96
29/01/2019 11:57,29/01/2019 12:57,97
29/01/2019 12:57,29/01/2019 13:57,96
29/01/2019 13:57,29/01/2019 14:57,94
29/01/2019 14:57,29/01/2019 15:58,97
29/01/2019 15:58,29/01/2019 16:58,95
29/01/2019 16:58,29/01/2019 17:58,95
29/01/2019 17:58,29/01/2019 18:58,95
29/01/2019 18:58,29/01/2019 19:58,92
29/01/2019 19:58,29/01/2019 20:59,94
29/01/2019 20:59,29/01/2019 21:59,98
29/01/2019 21:59,29/01/2019 22:59,100
29/01/2019 22:59,29/01/2019 23:59,101
29/01/2019 23:59,30/01/2019 01:00,103
30/01/2019 01:00,30/01/2019 02:00,100
30/01/2019 02:00,30/01/2019 03:00,99
30/01/2019 03:00,30/01/2019 04:00,101
30/01/2019 04:00,30/01/2019 05:00,99
30/01/2019 05:00,30/01/2019 06:01,93
30/01/2019 06:01,30/01/2019 07:01,95
30/01/2019 07:01,30/01/2019 08:01,97
30/01/2019 08:01,30/01/2019 09:01,94
30/01/2019 09:01,30/01/2019 10:02,97
30/01/2019 10:02,30/01/2019 11:02,95
30/01/2019 11:02,30/01/2019 12:02,98
30/01/2019 12:02,30/01/2019 13:02,97
30/01/2019 13:02,30/01/2019 14:02,100
30/01/2019 14:03,30/01/2019 15:03,97
30/01/2019 15:03,30/01/2019 16:03,96
30/01/2019 16:03,30/01/2019 17:03,95
30/01/2019 17:03,30/01/2019 18:03,97
30/01/2019 18:03,30/01/2019 19:04,94
30/01/2019 19:04,30/01/2019 20:04,94
30/01/2019 20:04,30/01/2019 21:04,101
30/01/2019 21:04,30/01/2019 22:04,95
30/01/2019 22:04,30/01/2019 23:04,95
30/01/2019 23:05,31/01/2019 00:05,95
31/01/2019 00:05,31/01/2019 01:05,98
31/01/2019 01:05,31/01/2019 02:05,100
31/01/2019 02:05,31/01/2019 03:05,99
31/01/2019 03:05,31/01/2019 04:06,101
31/01/2019 04:06,31/01/2019 05:06,101
31/01/2019 05:06,31/01/2019 06:06,102
31/01/2019 06:06,31/01/2019 07:06,101
31/01/2019 07:06,31/01/2019 08:06,99
31/01/2019 08:07,31/01/2019 09:07,103
31/01/2019 09:07,31/01/2019 10:07,101
31/01/2019 10:07,31/01/2019 11:07,103
31/01/2019 11:07,31/01/2019 12:07,104
31/01/2019 12:07,31/01/2019 13:08,102
31/01/2019 13:08,31/01/2019 14:08,104
31/01/2019 14:08,31/01/2019 15:08,103
31/01/2019 15:08,31/01/2019 16:08,102
31/01/2019 16:08,31/01/2019 17:09,99
31/01/2019 17:09,31/01/2019 18:09,104
31/01/2019 18:09,31/01/2019 19:09,100
31/01/2019 19:09,31/01/2019 20:09,99
31/01/2019 20:09,31/01/2019 21:09,98
31/01/2019 21:09,31/01/2019 22:10,99
31/01/2019 22:10,31/01/2019 23:10,102
31/01/2019 23:10,01/02/2019 00:10,102
01/02/2019 00:10,01/02/2019 01:10,105
01/02/2019 01:10,01/02/2019 02:11,102
01/02/2019 02:11,01/02/2019 03:11,102
01/02/2019 03:11,01/02/2019 04:11,102
01/02/2019 04:11,01/02/2019 05:11,106
01/02/2019 05:11,01/02/2019 06:11,98
01/02/2019 06:12,01/02/2019 07:12,108
01/02/2019 07:12,01/02/2019 08:12,103
01/02/2019 08:12,01/02/2019 09:12,100
01/02/2019 09:12,01/02/2019 10:12,106
01/02/2019 10:12,01/02/2019 11:13,102
01/02/2019 11:13,01/02/2019 12:13,108
01/02/2019 12:13,01/02/2019 13:13,104
01/02/2019 13:13,01/02/2019 14:13,106
01/02/2019 14:13,01/02/2019 15:13,99
01/02/2019 15:14,01/02/2019 16:14,103
01/02/2019 16:14,01/02/2019 17:14,100
01/02/2019 17:14,01/02/2019 18:14,103
01/02/2019 18:14,01/02/2019 19:14,100
01/02/2019 19:14,01/02/2019 20:15,103
01/02/2019 20:15,01/02/2019 21:15,102
01/02/2019 21:15,01/02/2019 22:15,99
01/02/2019 22:15,01/02/2019 23:15,101
01/02/2019 23:15,02/02/2019 00:15,101
02/02/2019 00:16,02/02/2019 01:16,105
02/02/2019 01:16,02/02/2019 02:16,100
02/02/2019 02:16,02/02/2019 03:16,102
02/02/2019 03:16,02/02/2019 04:16,106
02/02/2019 04:16,02/02/2019 05:17,102
02/02/2019 05:17,02/02/2019 06:17,101
02/02/2019 06:17,02/02/2019 07:17,104
02/02/2019 07:17,02/02/2019 08:17,103
02/02/2019 08:17,02/02/2019 09:18,102
02/02/2019 09:18,02/02/2019 10:18,105
