Measurement Start Date/Time,Measurement End Date/Time,Dose Equivalent Rate(nSv/h)
31/12/2018 23:35,01/01/2019 00:35,41
01/01/2019 00:35,01/01/2019 01:35,40
01/01/2019 01:35,01/01/2019 02:35,41
01/01/2019 02:36,01/01/2019 03:36,41
01/01/2019 03:36,01/01/2019 04:36,39
01/01/2019 04:36,01/01/2019 05:36,39
01/01/2019 05:36,01/01/2019 06:36,40
01/01/2019 06:36,01/01/2019 07:37,40
01/01/2019 07:37,01/01/2019 08:37,42
01/01/2019 08:37,01/01/2019 09:37,40
01/01/2019 09:37,01/01/2019 10:37,40
01/01/2019 10:37,01/01/2019 11:38,40
01/01/2019 11:38,01/01/2019 12:38,41
01/01/2019 12:38,01/01/2019 13:38,40
01/01/2019 13:38,01/01/2019 14:38,41
01/01/2019 14:38,01/01/2019 15:38,42
01/01/2019 15:39,01/01/2019 16:39,43
01/01/2019 16:39,01/01/2019 17:39,42
01/01/2019 17:39,01/01/2019 18:39,43
01/01/2019 18:39,01/01/2019 19:39,43
01/01/2019 19:39,01/01/2019 20:40,41
01/01/2019 20:40,01/01/2019 21:40,40
01/01/2019 21:40,01/01/2019 22:40,40
01/01/2019 22:40,01/01/2019 23:40,42
01/01/2019 23:40,02/01/2019 00:40,39
02/01/2019 00:41,02/01/2019 01:41,39
02/01/2019 01:41,02/01/2019 02:41,38
02/01/2019 02:41,02/01/2019 03:41,37
02/01/2019 03:41,02/01/2019 04:41,39
02/01/2019 04:41,02/01/2019 05:42,38
02/01/2019 05:42,02/01/2019 06:42,39
02/01/2019 06:42,02/01/2019 07:42,38
02/01/2019 07:42,02/01/2019 08:42,40
02/01/2019 08:42,02/01/2019 09:43,41
02/01/2019 09:43,02/01/2019 10:43,39
02/01/2019 10:43,02/01/2019 11:43,51
02/01/2019 11:43,02/01/2019 12:43,47
02/01/2019 12:43,02/01/2019 13:43,40
02/01/2019 13:44,02/01/2019 14:19,38
02/01/2019 14:25,02/01/2019 15:25,49
02/01/2019 15:25,02/01/2019 16:26,46
02/01/2019 16:26,02/01/2019 17:26,44
02/01/2019 17:26,02/01/2019 18:26,42
02/01/2019 18:26,02/01/2019 19:26,49
02/01/2019 19:26,02/01/2019 20:26,45
02/01/2019 20:27,02/01/2019 21:27,40
02/01/2019 21:27,02/01/2019 22:27,41
02/01/2019 22:27,02/01/2019 23:27,42
02/01/2019 23:27,03/01/2019 00:27,43
03/01/2019 00:27,03/01/2019 01:28,40
03/01/2019 01:28,03/01/2019 02:28,39
03/01/2019 02:28,03/01/2019 03:28,39
03/01/2019 03:28,03/01/2019 04:28,46
03/01/2019 04:28,03/01/2019 05:29,48
03/01/2019 05:29,03/01/2019 06:29,50
03/01/2019 06:29,03/01/2019 07:29,51
03/01/2019 07:29,03/01/2019 08:29,52
03/01/2019 08:29,03/01/2019 09:29,53
03/01/2019 09:30,03/01/2019 10:30,52
03/01/2019 10:30,03/01/2019 11:30,52
03/01/2019 11:30,03/01/2019 12:30,51
03/01/2019 12:30,03/01/2019 13:30,42
03/01/2019 13:30,03/01/2019 14:31,41
03/01/2019 14:31,03/01/2019 15:31,39
03/01/2019 15:31,03/01/2019 16:31,39
03/01/2019 21:32,03/01/2019 22:32,42
03/01/2019 22:32,03/01/2019 23:33,41
03/01/2019 23:33,04/01/2019 00:33,41
04/01/2019 00:33,04/01/2019 01:33,40
04/01/2019 01:33,04/01/2019 02:33,39
04/01/2019 02:33,04/01/2019 03:33,39
04/01/2019 03:34,04/01/2019 04:34,39
04/01/2019 04:34,04/01/2019 05:34,37
04/01/2019 05:34,04/01/2019 06:34,39
04/01/2019 06:34,04/01/2019 07:34,41
04/01/2019 07:34,04/01/2019 08:35,39
04/01/2019 08:35,04/01/2019 09:35,39
04/01/2019 09:35,04/01/2019 10:35,42
04/01/2019 10:35,04/01/2019 11:35,39
04/01/2019 11:35,04/01/2019 12:36,41
04/01/2019 12:36,04/01/2019 13:36,40
04/01/2019 14:08,04/01/2019 15:08,41
04/01/2019 15:08,04/01/2019 16:08,40
04/01/2019 16:08,04/01/2019 17:09,39
04/01/2019 17:09,04/01/2019 18:09,41
04/01/2019 18:09,04/01/2019 19:09,42
04/01/2019 19:09,04/01/2019 20:09,41
04/01/2019 20:09,04/01/2019 21:10,39
04/01/2019 21:10,04/01/2019 22:10,39
